Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net
[0mHTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/favicon.ico
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/miniapp
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/assets/media/avatars/avatar10.jpg
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/assets/js/dashmix.app.min.js
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/assets/media/various/bg_side_overlay_header.jpg
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/assets/media/favicons/favicon.png
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/test
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/assets/css/dashmix.min.css
HTTP request from 180.241.28.146 to https://8efd4c4cc3de63c4be8f8dd0ee1dcd04.serveo.net/assets/js/dashmix.app.min.js
